Number	TP	Status	TN	TN.TP	Chl.a	pH	Secchi.Depth	Temperature	Latitude	Longitude	Cyanobacteria	Anabaena	Microcystis	MicrocystisDicot
52	35	Eutrophic	1100	31.4	17.0	7.7	0.9	20.2	60.21	24.1	0.3982	0.006999999999999999	0.005	Yes
31	8	Oligotrophic	350	43.8	5.0	7.2	3.2	19.3	60.43	24.12	0.0354	0.005	0.0	No
26	27	Mesotrophic	1200	44.4	16.0	7.7	2.5	18.0	61.08	24.16	0.468	0.005	0.391	Yes
53	69	Eutrophic	1100	15.9	42.0	8.1	0.55	22.8	60.24	24.18	0.16699999999999998	0.071	0.003	Yes
10	12	Mesotrophic	400	33.3	8.6	7.4	2.3	17.2	61.32	24.2	0.0375	0.006	0.001	Yes
60	7	Oligotrophic	490	70.0	3.1	6.1	4.1	21.6	60.16	24.3	0.034	0.0	0.0	No
5	28	Mesotrophic	540	19.3	11.0	7.7	2.3	19.3	60.59	24.3	0.4379	0.056	0.0	No
17	30	Mesotrophic	690	23.0	35.0	7.2	1.3	18.2	61.1	24.31	0.1713	0.003	0.043	Yes
48	10	Mesotrophic	410	41.0	5.6	7.6	3.2	19.6	61.12	24.35	0.05	0.001	0.002	Yes
3	5	Oligotrophic	230	46.0	11.0	6.5	3.4	20.6	60.18	24.37	0.1682	0.034	0.0	No
16	5	Oligotrophic	370	74.0	4.4	7.3	3.7	18.7	60.18	24.37	0.1479	0.003	0.0	No
8	50	Eutrophic	640	12.8	36.0	7.6	1.0	19.2	60.51	24.37	0.2178	0.054000000000000006	0.022	Yes
32	10	Mesotrophic	480	48.0	8.3	5.8	1.7	18.4	61.19	24.4	0.0004	0.0	0.0	No
55	9	Oligotrophic	360	40.0	2.6	7.3	3.0	21.0	61.19	24.4	0.0496	0.0	0.0	No
68	5	Oligotrophic	580	116.0	4.7	7.2	3.6	22.1	62.46	25.03	0.075	0.0	0.022	Yes
50	13	Mesotrophic	1400	107.7	6.3	7.3	1.8	19.1	61.03	25.07	0.1364	0.001	0.0	No
7	12	Mesotrophic	530	44.2	4.4	7.3	5.0	15.4	61.29	25.41	0.0464	0.001	0.002	Yes
21	49	Eutrophic	740	15.1	30.0	8.3	0.5	20.9	60.32	25.42	0.7833	0.44	0.001	Yes
22	32	Mesotrophic	580	18.1	9.2	7.3	1.0	21.6	60.23	25.45	0.1595	0.027000000000000003	0.025	Yes
56	35	Eutrophic	670	19.1	27.0	7.8	1.8	19.6	60.23	25.45	0.9884	0.152	0.49	Yes
67	7	Oligotrophic	470	67.1	7.2	7.7	2.8	22.5	60.49	26.13	0.337	0.05	0.043	Yes
66	6	Oligotrophic	490	81.7	4.9	7.5	2.8	22.1	60.58	26.16	0.171	0.069	0.0	No
71	10	Mesotrophic	370	37.0	15.0	7.1	2.7	17.2	60.1	26.28	0.884	0.0	0.228	Yes
43	11	Mesotrophic	600	54.5	4.9	7.3	3.0	21.2	60.1	26.28	0.029	0.001	0.0	No
13	5	Oligotrophic	380	76.0	2.4	7.2	5.5	17.8	61.05	26.46	0.054000000000000006	0.0	0.0	No
47	13	Mesotrophic	500	38.5	3.4	7.1	2.4	18.6	60.54	26.53	0.0204	0.004	0.0	No
42	4	Oligotrophic	320	80.0	1.9	7.2	6.0	19.9	61.16	27.3	0.0176	0.0	0.0	No
62	18	Mesotrophic	610	33.9	13.0	7.2	2.0	21.2	62.5	27.38	1.325	1.159	0.0	No
20	44	Mesotrophic	1600	293.3	14.0	7.9	0.7	19.4	60.42	28.0	0.3438	0.042	0.0	No
29	6	Oligotrophic	380	63.3	2.7	7.1	3.5	20.1	61.08	28.0	0.0296	0.003	0.0	No
28	15	Mesotrophic	380	25.3	6.2	7.3	3.5	20.1	61.08	28.0	0.0588	0.005	0.001	Yes
9	12	Mesotrophic	330	27.5	5.4	7.5	2.7	17.8	61.15	28.11	0.0602	0.016	0.0	No
